date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index
21-09-2022,118.8083333,82.98333333,1616.708333,76.99166667,86.07916667,75.5,0.615,0.958333333,1.44375
22-09-2022,84.07916667,58.27083333,1086.125,57.4625,49.52083333,51.875,0.572083333,1.583333333,0.964583333
23-09-2022,50.00833333,34.275,765.2916667,52.06666667,30.09166667,54.08333333,0.732083333,2.75,0.758333333
24-09-2022,40.58333333,27.66666667,647.625,47.59583333,28.93333333,46.54166667,0.558333333,3.208333333,0.625
25-09-2022,61.075,39.82916667,869.7083333,46.79583333,33.56666667,69.79166667,0.670833333,11.5,1.322916667
26-09-2022,88.55833333,55.175,1060.916667,56.55416667,47.63333333,54.16666667,0.664166667,24.125,1.302083333
27-09-2022,109.5,66.55833333,1469.75,54.5,56.86666667,51.04166667,0.495,35.58333333,1.414583333
28-09-2022,136.7208333,88.39166667,2098.875,64.30416667,79.54166667,62.54166667,0.539166667,26.45833333,1.508333333
29-09-2022,137.4208333,91.04583333,1631.916667,66.86666667,65.57916667,71,0.636666667,21.375,1.366666667
30-09-2022,135.5666667,89.17083333,1449.041667,66.24166667,52.9,70.75,0.772083333,23.375,1.222916667
01-10-2022,145.0125,94.27083333,1818.75,70.64583333,59.96666667,58.25,0.629583333,28.375,1.377083333
02-10-2022,150.1666667,97.62916667,2373.791667,76.79583333,71.75833333,56.79166667,0.515,29.16666667,1.414583333
03-10-2022,86.05,53.06666667,829.625,46.05416667,37.37916667,69,0.3525,28.41666667,1.497916667
04-10-2022,100.3833333,66.76666667,1324.916667,58.67916667,49.42083333,73.25,0.494583333,13.95833333,1.45
05-10-2022,173.7833333,119.875,2676.291667,118.1958333,102.275,85.54166667,0.757083333,6.875,1.170833333
06-10-2022,47.8125,32.27083333,818.2083333,54.24583333,43.27916667,42.91666667,0.32125,4.75,1.485416667
07-10-2022,35.4375,23.45,565.875,37.67083333,42.67083333,43.375,0.2875,5.541666667,1.089583333
08-10-2022,36.94583333,25.7375,628.6666667,39.26666667,31.09583333,21.45833333,0.268333333,0.416666667,0.339583333
09-10-2022,30.05416667,20.75833333,513.625,38.22916667,30.45,31.33333333,0.226666667,0.833333333,0.577083333
10-10-2022,54.82083333,36.60833333,1074.791667,52.76666667,53.11666667,36.70833333,0.351666667,7,0.75
11-10-2022,50.5,34.8625,929.5,56.10833333,46.69166667,60.75,0.477916667,1.916666667,1.060416667
12-10-2022,83.59166667,57.27083333,1369.333333,61.97916667,54.5875,54.20833333,0.344166667,4.5,1.31875
13-10-2022,92.1,61.44583333,1378.75,63.225,53.4875,48.54166667,0.3625,11.95833333,1.347916667
14-10-2022,95.325,62.10416667,1122.291667,55.45,43.10833333,61.45833333,0.350833333,18.875,1.360416667
15-10-2022,141.225,95.04583333,2288.083333,71.76666667,70.16666667,67,0.389583333,15.95833333,1.322916667
16-10-2022,199.6583333,134.9375,3745.791667,105.5416667,102.8958333,60.5,0.468333333,19.04166667,1.260416667
17-10-2022,163.3,112.125,2298.708333,86.03333333,66.98333333,67.29166667,0.569166667,9.208333333,1.166666667
18-10-2022,159.0583333,109.6,2206.875,98.5375,61.89583333,53.79166667,0.619166667,7.375,1.072916667
19-10-2022,171.2875,118.5541667,2642.458333,122.6333333,79.625,46.58333333,0.61625,5.416666667,1.00625
20-10-2022,123,84.625,1680,91.10833333,68.86666667,51.70833333,0.603333333,6.083333333,1.0625
21-10-2022,154.9708333,107.05,2132.5,109.4708333,77.16666667,56.04166667,0.5425,5.666666667,1.014583333
22-10-2022,199.8333333,137.0541667,2807.125,107.4416667,106.4041667,59.45833333,0.6575,11,0.90625
23-10-2022,166.05,112.1333333,2221.75,76.6875,77.49166667,46.58333333,0.431666667,17.04166667,1.0625
24-10-2022,114.1,75.47083333,1329.75,59.77916667,51.52916667,52,0.30625,18.16666667,1.204166667
25-10-2022,112.4708333,72.925,1009.041667,47.93333333,35.87916667,82.95833333,0.45625,23.83333333,1.1125
26-10-2022,198.175,134.5041667,2478.625,98.94166667,78.04583333,67.04166667,0.618333333,17.70833333,0.99375
27-10-2022,230.9916667,157.4625,3305.25,121.4625,89.23333333,53,0.67,17.25,0.975
28-10-2022,290.4708333,199.625,4238.958333,141.6625,128.025,54.125,0.825,15.54166667,0.86875
29-10-2022,251.9916667,173.3333333,3768.333333,124.8,100.975,57.16666667,0.72375,13.16666667,0.91875
30-10-2022,245.6541667,166.8,3695.041667,114.9833333,88.10416667,56.375,0.811666667,20.91666667,0.84375
31-10-2022,248.8041667,169.975,2227.666667,101.3833333,141.6416667,64.25,0.772083333,18.08333333,0.85
01-11-2022,306.1,210.9708333,2402.25,119.3708333,229.6833333,70.70833333,0.95625,13.70833333,0.78125
02-11-2022,218.5541667,147.6958333,1253.291667,72.01666667,127.9625,77.95833333,0.809166667,22.41666667,0.79375
03-11-2022,143.2166667,94.02916667,1537.125,56.15416667,78.95416667,65.33333333,0.625416667,26.29166667,0.95
04-11-2022,235.5625,157.5875,3162.666667,110.8541667,99.02916667,62.45833333,0.94375,29.54166667,0.775
05-11-2022,204.3708333,137.8458333,1739.166667,98.4375,72.17916667,55.75,0.978333333,22,0.735416667
06-11-2022,212.3708333,144.0125,1664.958333,99.04166667,79.06666667,36.95833333,0.869166667,20.54166667,0.79375
07-11-2022,218.2916667,148.425,2237.666667,101.4833333,91.13333333,56.08333333,0.8775,18.70833333,0.7
08-11-2022,174.7625,118.5333333,2426.916667,76.1375,85.7125,40.45833333,0.824583333,16,0.641666667
09-11-2022,195.0583333,133.2166667,3128.708333,95.79166667,114.4625,41.54166667,0.845,13.54166667,0.7125
10-11-2022,215.4,147.5458333,3238.666667,98.59583333,126.4208333,59.45833333,0.941666667,12.66666667,0.635416667
11-11-2022,119.9375,78.09583333,982.25,41.84583333,35.15833333,57.58333333,0.517083333,23.91666667,0.88125
12-11-2022,118.1208333,76.0375,916.3333333,43.78333333,34.91666667,70.04166667,0.4775,26.70833333,0.90625
13-11-2022,122.7625,80.41666667,1821.125,56.61666667,57.1375,60.91666667,0.370833333,22.20833333,0.916666667
14-11-2022,167.825,111.9291667,2327.416667,78.95,112.3458333,50.29166667,0.67,21.91666667,0.729166667
15-11-2022,118.2541667,79.12916667,1335.5,57.94583333,92,52.875,0.831666667,14.70833333,0.633333333
16-11-2022,110.3416667,69.56666667,752.2916667,39.43333333,33.7,60.45833333,0.55,31.54166667,0.816666667
17-11-2022,117.1791667,73.00416667,791.75,37.5125,29.9125,74.79166667,0.480416667,36.95833333,0.858333333
18-11-2022,125.1708333,83.5375,1896,60.55833333,56.02083333,62.83333333,0.34625,16.625,0.877083333
19-11-2022,160.4666667,106.8833333,1768.333333,63.69583333,122.0125,54.91666667,0.352083333,21.20833333,0.7875
20-11-2022,108.1958333,70.20416667,803.5833333,46.03333333,85.625,73.20833333,0.319166667,21.95833333,0.854166667
21-11-2022,92.5,58.08333333,842.7916667,39.8,52.40833333,76,0.29375,26.45833333,0.854166667
22-11-2022,85.79166667,54.79583333,944.9583333,47.62916667,31.19166667,69.33333333,0.261666667,20.91666667,0.875
23-11-2022,92.775,58.9875,1132.083333,51.48333333,28.95416667,67.29166667,0.268333333,23.45833333,0.85625
24-11-2022,126.0458333,82.8,1912.458333,60.74583333,50.5375,59.91666667,0.262083333,21.5,0.860416667
25-11-2022,212.5625,141.2541667,3617.25,99.65833333,111.05,55.70833333,0.418333333,29,0.797916667
26-11-2022,121.925,78.7,1127.875,47.66666667,44.12083333,86.58333333,0.314583333,26.41666667,0.88125
27-11-2022,139.1666667,93.7875,1150.875,55.85,78.94583333,74.04166667,0.355416667,15,0.814583333
28-11-2022,167.5458333,114.2541667,1263.875,63.15,131.0916667,66.25,0.402916667,12.125,0.829166667
29-11-2022,184.9541667,126.75,1420.166667,66.275,128.9291667,77.29166667,0.485416667,10.875,0.804166667
30-11-2022,163.725,111.7,1351.375,71.92916667,110.1708333,79.16666667,0.443333333,11.41666667,0.777083333
01-12-2022,174.0291667,118.1666667,1368.166667,77.80833333,103.6916667,75.45833333,0.446666667,14.33333333,0.758333333
02-12-2022,291.75,199.0375,3063.291667,118.0708333,156.9708333,61.58333333,0.670833333,20.375,0.654166667
03-12-2022,344.6458333,238.075,5060.708333,155.7833333,177.2791667,75.95833333,0.82,12.625,0.583333333
04-12-2022,286.3375,198.2541667,4677.625,121.9708333,128.3333333,51.41666667,0.651666667,9.5,0.635416667
05-12-2022,196.1291667,134.5416667,3308.291667,91.75,106.2208333,50.5,0.48375,10.58333333,0.670833333
